Dependencia,Modalidad,Clave,Programa,Categorización Enfoque de Resultados en el Propósito (ER),Categorización Medición de Resultados (MR),Categorización Asociación Lógica (AL)
BIENESTAR,E,E003,Servicios a grupos con necesidades especiales,El programa cuenta con Enfoque de Resultados,El programa no mide resultados,Existe asociación lógica entre los componentes y el objetivo central
BIENESTAR,E,E016,Articulación de Políticas Integrales de Juventud,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,No existe asociación lógica entre los componentes y el objetivo central
BIENESTAR,S,S155,Programa de Apoyo a las Instancias de Mujeres en las Entidades Federativas (PAIMEF),El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
BIENESTAR,U,U012,"Programa de Apoyo para Refugios Especializados para Mujeres Víctimas de Violencia de Género, sus hijas e hijos",El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,No existe asociación lógica entre los componentes y el objetivo central
BIENESTAR,S,S286,Pensión para el Bienestar de las Personas con Discapacidad Permanente,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
BIENESTAR,S,S287,Sembrando Vida,El programa cuenta con Enfoque de Resultados,El programa no mide resultados,Existe asociación lógica entre los componentes y el objetivo central
BIENESTAR,S,S285,Programa de Microcréditos para el Bienestar,El programa cuenta con Enfoque de Resultados,El programa debe ajustar sus indicadores para medir adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
BIENESTAR,U,U011,Programa para el Bienestar de las Personas en Emergencia Social o Natural,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
BIENESTAR,S,S176,Pensión para el Bienestar de las Personas Adultas Mayores,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
BIENESTAR,S,S174,"Programa de Apoyo para el Bienestar de las Niñas y Niños, Hijos de Madres Trabajadoras ",El programa cuenta con Enfoque de Resultados,El programa debe ajustar sus indicadores para medir adecuadamente sus resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
CONACYT,S,S190,Becas de posgrado y apoyos a la calidad,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
CONACYT,S,S191,Sistema Nacional de Investigadores,El programa cuenta con Enfoque de Resultados,El programa debe ajustar sus indicadores para medir adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
CONACYT,E,E003,"Investigación científica, desarrollo e innovación",El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
CULTURA,E,E010,Servicios de Educación Superior y Posgrado,El programa no cuenta con Enfoque de Resultados,El programa no mide resultados,No existe asociación lógica entre los componentes y el objetivo central
CULTURA,E,E011,Desarrollo Cultural,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,No existe asociación lógica entre los componentes y el objetivo central
CULTURA,E,E021,"Investigación Científica, Arqueológica y Antropológica",El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
CULTURA,E,E013,Producción y transmisión de materiales culturales y artísticos,El programa cuenta con Enfoque de Resultados,El programa debe ajustar sus indicadores para medir adecuadamente sus resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
CULTURA,E,E016,Producción y distribución de libros y materiales artísticos y culturales,El programa debe mejorar su Enfoque de Resultados,El programa mide adecuadamente sus resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
